Time	<B Du Df Db Dr Dl Gu Gf Gb Gr Gl>		Action	Score
----	---------------------------------		------	-----
0	< 0  0  0  0  0  0  0  0  0  0  0 >		N/A	0
1	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	-1
2	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Right	-2
3	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Right	-3
4	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	-4
5	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	-5
6	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	-6
7	< 0  0  0  0  0  1  0  0  0  0  0 >		Turn Right	-7
8	< 0  0  1  0  0  0  0  0  0  0  0 >		Go forward	-8
9	< 0  1  0  0  0  0  0  0  0  0  0 >		Vacuum Tile	91
10	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	90
11	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	89
12	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	88
13	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	87
14	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	86
15	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	85
16	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	84
17	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	83
18	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	82
19	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Right	81
20	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	80
21	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	79
22	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	78
23	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	77
24	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	76
25	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	75
26	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	74
27	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Right	73
28	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	72
29	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	71
30	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	70
31	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	69
32	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	68
33	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	67
34	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Right	66
35	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	65
36	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	64
37	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	63
38	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	62
39	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Right	61
40	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	60
41	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	59
42	< 0  0  1  0  0  0  0  0  0  0  0 >		Go forward	58
43	< 0  1  0  0  0  0  0  0  0  0  0 >		Vacuum Tile	157
44	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	156
45	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Right	155
46	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Right	154
47	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	153
48	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	152
49	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	151
50	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	150
51	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	149
52	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Left	148
53	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	147
54	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	146
55	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	145
56	< 0  0  0  0  0  0  0  0  0  0  0 >		Turn Right	144
57	< 0  0  0  0  0  0  0  0  0  0  0 >		Go forward	143
